Name,Postal Code,FIPS,APM,Year,FullParticip,ShadowYear,Classification,PPS,NewBaseRate,ManagedCare,Attribution,NonQualityPayments,QualityBonus,CostEffectivenessBonus,CodingDependent,Description,Notes,Link1,Link2
Rhode Island,RI,44,Yes,2017,1,,5 - Base Rate plus Quality Bonus,,,1,,,1,,,"Shared savings plan, also Managed care involved too",,https://eohhs.ri.gov/sites/g/files/xkgbur226/files/2021-06/Updated%20Transition%20to%20APM%20April%202021_Final.pdf,
Arkansas,AR,5,No,,,,,,,,,,,,,,,,
California,CA,6,Yes,,,2024,,,,,,,,,,,Go Line 2024: https://www.dhcs.ca.gov/services/Documents/DirectedPymts/FQHC-APM-September-2022-Overview.pdf,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201520160SB147,https://www.hcinnovationgroup.com/policy-value-based-care/alternative-payment-models/news/21269204/california-seeks-to-pilot-apms-with-fqhcs
Florida,FL,12,No,,,,,,,,,,,,,,,,
Georgia,GA,13,No,,,,,,,,,,,,,,,,
Iowa,IA,19,Partial,,0,,,,,,,,,,,"All Inclusive rate, tribal",,,
Maine,ME,23,No,,,,,,,,,,,,,,,,
Mississippi,MS,28,Maybe,,,,,,,,,,,,,,,https://medicaid.ms.gov/wp-content/uploads/2021/07/Title-23-Part-211-Federally-Qualified-Health-Centers-eff.-07.01.21.pdf,
New Jersey,NJ,34,No,,,,,,,,,,,,,,,,
South Dakota,SD,46,No,,,,,,,,,,,,,,,https://dss.sd.gov/docs/medicaid/providers/billingmanuals/Professional/FQHC_and_RHC.pdf,
West Virginia,WV,54,No,,,,,,,,,,,,,,,,
